id,person_id,address,label
1,1,tyurchenko0@macromedia.com,personal
2,13,ndaber1@wix.com,work
3,18,oalmond2@fda.gov,home
4,4,emorfett3@printfriendly.com,work
5,12,flghan4@360.cn,work
6,15,cseelbach5@guardian.co.uk,home
7,16,lwetter6@blogger.com,home
8,9,eluchetti7@newyorker.com,home
9,10,ndainter8@linkedin.com,personal
10,20,gveitch9@jugem.jp,home
11,4,rhrinchishina@upenn.edu,home
12,13,rtzukerb@vinaora.com,personal
13,16,nreederc@sbwire.com,personal
14,19,bvaughnd@linkedin.com,personal
15,9,jlangshawe@slate.com,home
16,12,csharmanf@hao123.com,personal
17,20,afowleyg@microsoft.com,home
18,8,eibotsonh@theatlantic.com,work
19,18,ispiresi@flavors.me,personal
20,1,cstringerj@jimdo.com,work
21,15,cmclartyk@quantcast.com,work
22,13,jsimperl@abc.net.au,home
23,17,ikyrkemanm@bing.com,work
24,2,sriepeln@qq.com,home
25,5,pkitsono@bandcamp.com,home
26,15,dlewingtonp@washington.edu,home
27,11,echaronq@wordpress.com,work
28,16,kkimmittr@histats.com,work
29,17,destevezs@jigsy.com,personal
30,5,ndeleont@cnbc.com,home
31,1,cundrillu@xing.com,personal
32,20,agasperiv@toplist.cz,work
33,12,dhabbeshaww@zimbio.com,home
34,10,vmoonx@rambler.ru,work
35,2,gikinsy@simplemachines.org,personal
36,10,gmerrissonz@exblog.jp,work
37,9,abadini10@vistaprint.com,home
38,15,acordeau11@hc360.com,personal
39,12,jdabs12@wired.com,personal
40,18,tcanfield13@noaa.gov,work
41,8,vgaraway14@usa.gov,work
42,15,vcapoun15@google.co.uk,personal
43,19,sabbey16@squidoo.com,home
44,2,bmaskrey17@gnu.org,home
45,14,gmarzelli18@4shared.com,personal
46,13,ecolegrove19@yandex.ru,home
47,9,loutridge1a@walmart.com,home
48,8,djosuweit1b@nbcnews.com,work
49,7,tliddel1c@narod.ru,work
50,20,rstede1d@google.ru,home
